shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
418074,49.3210297,6.7461937,342
2075840,49.3156382,6.9546625,343
1139510,49.468883,7.1452489,344
7458537,49.25082,6.8538271,345
538255,49.2939148,6.9310947,346
450854,49.3246796,7.0533687,347
538255,49.2938178,6.9310023,348
7543084,49.4671726,7.1650904,349
2071708,49.3070203,6.9328441,350
2080575,49.3072073,6.9449282,351
1205315,49.2197497,6.8055265,352
7905182,49.2245855,7.0256001,353
2080574,49.315224,6.9401199,354
2080573,49.3155554,6.9401287,355
2080573,49.3107966,6.9403289,356
7900264,49.2615312,6.9103643,357
7850697,49.273566,7.0254581,358
2075842,49.3117101,6.9477081,359
7802915,49.4588509,6.3718089,360
4790636,49.2432535,6.9824204,361
7900264,49.2619219,6.9165202,362
237155,49.276422,7.0329183,363
418074,49.3271008,6.7505541,364
920472,49.3272035,6.7501889,365
920475,49.3273867,6.7492197,366
910012,49.3099411,7.3163033,367
2075844,49.3156386,6.9475123,368
5776647,49.3102833,7.3452961,369
405907,49.2899153,7.0294172,370
405907,49.2901318,7.0290027,371
2084669,49.289518,6.8837079,372
935876,49.2669431,7.1072611,373
576112,49.2334004,7.0015287,374
4720116,49.2578544,6.8079086,375
5709358,49.5385679,6.375923,376
4720116,49.2395006,6.7054403,377
4790636,49.4967033,7.0165421,378
4773465,49.3121534,6.7525964,379
224554,49.4097796,6.6480737,380
4720116,49.2521167,6.8186395,381
4026270,49.3193267,7.3368418,382
7893825,49.2324798,7.005831,383
1204991,49.2349145,6.8343313,384
450854,49.3467801,7.0477868,385
4029530,49.3247165,7.3294206,386
405625,49.2186457,6.9678214,387
1108397,49.2361051,7.2589258,388
1108397,49.2363708,7.2590503,389
1108397,49.2362823,7.2590088,390
1108397,49.2361937,7.2589673,391
1108397,49.2362453,7.2591843,392
1108397,49.2361541,7.2591397,393
1108397,49.2363365,7.2592289,394
1139510,49.4799046,7.0247108,395
7458093,49.2535317,6.9093876,396
7458537,49.2530028,6.9097357,397
4720116,49.2409136,6.784097,398
920473,49.3074754,6.8229711,399
4720116,49.2455229,6.7919317,400
4720116,49.2486789,6.7936352,401
4720116,49.2547484,6.8013621,402
1376296,49.3130205,6.7532938,403
4720116,49.2577129,6.8080072,404
7458537,49.2496138,6.9093752,405
4720116,49.256459,6.8142432,406
418074,49.3271522,6.7503714,407
3857117,49.1725926,7.2088227,408
4790636,49.4065087,6.9104021,409
2075840,49.3115789,6.947456,410
940080,49.225947,7.03546,411
940080,49.225547,7.026316,412
4720116,49.2546648,6.8158095,413
7543083,49.3525766,7.1197235,414
4790636,49.2504498,6.9636016,415
7841893,49.1941894,7.026225,416
1139510,49.4553888,6.9785804,417
4773464,49.3144128,6.7445923,418
7850696,49.24312,7.0028895,419
2080574,49.317814,6.939596,420
2075840,49.3185597,6.9402499,421
7754564,49.1575245,7.0272525,422
4790636,49.231473,6.9961742,423
405625,49.2318498,6.9847888,424
2075844,49.3152166,6.952136,425
4031964,49.3600014,7.3808115,426
4720116,49.2374761,6.7020056,427
7543083,49.3269124,7.0939787,428
2084671,49.2882992,6.882833,429
406014,49.2564126,7.0429347,430
2075840,49.3166279,6.9517873,431
4773465,49.3139837,6.7488977,432
7884259,49.2518169,6.9373172,433
2071636,49.302906,6.9343043,434
7884258,49.2480163,6.9413193,435
4773464,49.307509,6.7369212,436
7849567,49.2265649,6.9978195,437
4790636,49.4984067,7.0233131,438
