route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2075841,7589882482457338125,142 - Rgbg Stumpen V2,Riegelsberg Süd-to-Riegelsberg Stumpen,,3,https://www.openstreetmap.org/relation/2075841,,
2075842,7589882482457338125,142 - Riegelsberg Süd V1,Hilschbacher Straße-to-Riegelsberg Süd,,3,https://www.openstreetmap.org/relation/2075842,,
2075843,7589882482457338125,142 - Riegelsberg Süd V2,Hilschbacher Straße-to-Riegelsberg Süd,,3,https://www.openstreetmap.org/relation/2075843,,
2075844,7589882482457338125,142 - Riegelsberg Süd V3,Riegelsberg Stumpen-to-Riegelsberg Süd,,3,https://www.openstreetmap.org/relation/2075844,,
2078076,4734454178002219922,ICE 82 Frankfurt(Main) - Paris,Frankfurt (Main) Hbf-to-Paris Gare de l'Est,,2,https://www.openstreetmap.org/relation/2078076,,
2080573,7589882482457338125,140 - Güchenbach-Niedersalbach-Hw. Markt,Güchenbach-to-Heusweiler Markt,,3,https://www.openstreetmap.org/relation/2080573,,
2080574,7589882482457338125,140 - Hw Markt-Obersalbach-Güchenbach,Heusweiler Markt B-to-Güchenbach B,,3,https://www.openstreetmap.org/relation/2080574,,
2080575,7589882482457338125,140 - Riegelsberg Süd-Hw. Markt,Riegelsberg Süd-to-Heusweiler Markt,,3,https://www.openstreetmap.org/relation/2080575,,
2080625,7589882482457338125,140 - Hw Markt-Niedersalbach-Güchenbach,Heusweiler Markt B-to-Güchenbach B,,3,https://www.openstreetmap.org/relation/2080625,,
2080626,7589882482457338125,140 - Hw Markt-Riegelsberg Süd,Heusweiler Markt B-to-Güchenbach B,,3,https://www.openstreetmap.org/relation/2080626,,
2080654,7589882482457338125,140 - Güchenbach-Obersalbach-Hw. Markt,Güchenbach-to-Heusweiler Markt,,3,https://www.openstreetmap.org/relation/2080654,,
2084669,2613269760633785747,Bus 196 Püttlingen Birkenbruch,Riegelsberg Süd-to-Püttlingen Zum Birkenbruch,,3,https://www.openstreetmap.org/relation/2084669,,
2084670,2613269760633785747,Bus 196 Püttlingen Klinik,Riegelsberg Süd-to-Püttlingen Zum Birkenbruch,,3,https://www.openstreetmap.org/relation/2084670,,
2084671,2613269760633785747,Bus 196 Riegelsberg,Püttlingen Markt-to-Riegelsberg Süd,,3,https://www.openstreetmap.org/relation/2084671,,
2097884,-1,422,,,3,https://www.openstreetmap.org/relation/2097884,,
